cluster_id,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,day_Mon,day_Tue,day_Wed,day_Thu,day_Fri,day_Sat,day_Sun,window_afternoon,window_early_morning,window_evening,window_late_night,window_morning,window_night,peak_hour,peak_day,rush_hour_ratio,is_night_dominant,is_weekend_dominant
239,0.0,0.1364,0.0,0.0455,0.0909,0.4545,0.0,0.0455,0.0909,0.0455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0455,0.0455,0.0,0.4545,0.0909,0.1818,0.0455,0.0909,0.0,0.1364,0.0,13.0,0.0,6.0,1.0,2.0,5,Mon,0.1819,0,0
240,0.0,0.0,0.0,0.0,0.0526,0.0526,0.2632,0.1579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1579,0.1053,0.0526,0.0,0.1579,0.6316,0.0526,0.1053,0.0526,0.0526,0.0,0.1053,0.0,9.0,5.0,1.0,0.0,4.0,6,Mon,0.3158,0,0
241,0.0417,0.0208,0.1042,0.0,0.0208,0.1042,0.1667,0.0833,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.125,0.1875,0.0417,0.0208,0.0833,0.0833,0.1458,0.1667,0.4792,0.0208,0.0,19.0,3.0,9.0,0.0,17.0,22,Sat,0.125,1,1
242,0.0,0.0,0.0,0.1818,0.0,0.7273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909,0.0,0.0,0.0,0.0,0.0909,0.0,0.7273,0.0,0.1818,0.0,0.0,8.0,1.0,2.0,0.0,0.0,5,Thu,0.0,0,0
243,0.0,0.0,0.0,0.0,0.0,0.0,0.1765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588,0.4706,0.2353,0.0588,0.0,0.1765,0.1765,0.4118,0.1176,0.0588,0.0588,0.0,3.0,1.0,0.0,0.0,13.0,21,Thu,0.0,1,0
244,0.0455,0.0,0.0,0.1818,0.0,0.6364,0.0,0.0909,0.0,0.0455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727,0.1364,0.2273,0.1364,0.0455,0.1364,0.0455,0.0,16.0,0.0,5.0,1.0,0.0,5,Mon,0.1364,0,0
245,0.3077,0.0,0.1538,0.0,0.0769,0.1538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769,0.0,0.2308,0.2308,0.0769,0.0769,0.2308,0.0,0.3077,0.0769,0.0,2.0,0.0,7.0,0.0,4.0,0,Sat,0.0,1,0
246,0.0,0.0,0.1379,0.1724,0.0,0.069,0.069,0.1379,0.1724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2069,0.0,0.0345,0.0,0.1379,0.0,0.2759,0.0,0.3793,0.2069,0.0,13.0,0.0,9.0,0.0,7.0,21,Sat,0.3103,1,1
247,0.0,0.0,0.2857,0.0,0.0,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.5,0.0,0.5714,0.0714,0.2857,0.0714,0.0,0.0,0.0,1.0,0.0,4.0,0.0,9.0,23,Tue,0.0714,1,0
248,0.0235,0.0,0.0118,0.0,0.1294,0.0118,0.4824,0.1176,0.0118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176,0.0824,0.0118,0.0118,0.2,0.2471,0.2118,0.2235,0.0941,0.0118,0.0,53.0,0.0,14.0,0.0,18.0,6,Wed,0.1294,0,0
249,0.0,0.0615,0.0,0.0,0.0,0.0615,0.0154,0.0462,0.3385,0.0,0.3846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0923,0.0,0.0,0.0,0.5692,0.0462,0.0923,0.0462,0.1538,0.0923,0.0,30.0,0.0,4.0,25.0,6.0,10,Tue,0.3847,0,0
250,0.0,0.0,0.0,0.0,0.0,0.2778,0.4444,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,0.0,0.1667,0.2222,0.0556,0.1667,0.1111,0.2222,0.0556,0.0,16.0,0.0,0.0,0.0,2.0,6,Tue,0.1667,0,0
251,0.1176,0.0588,0.0588,0.0588,0.0,0.0588,0.1765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3529,0.0588,0.0588,0.1176,0.4706,0.1176,0.0588,0.1176,0.0588,0.0588,0.0,4.0,0.0,5.0,0.0,8.0,21,Tue,0.0,1,0
252,0.0,0.0,0.0,0.0,0.0,0.0,0.5769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3462,0.0,0.0769,0.0,0.4231,0.0,0.0,0.0,0.5769,0.0,0.0,15.0,0.0,0.0,0.0,11.0,6,Sat,0.0,0,1
253,0.0571,0.019,0.0571,0.0476,0.019,0.4857,0.1524,0.0476,0.0381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0095,0.019,0.019,0.0095,0.019,0.619,0.1619,0.0286,0.0476,0.0571,0.0476,0.0381,0.0,76.0,3.0,21.0,0.0,5.0,5,Mon,0.0952,0,0
254,0.1818,0.0,0.0,0.0,0.0,0.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636,0.0909,0.2727,0.0,0.2727,0.6364,0.0,0.0,0.0909,0.0,0.0,1.0,0.0,2.0,0.0,8.0,21,Wed,0.0,1,0
255,0.6129,0.0323,0.0323,0.0,0.0323,0.0,0.0645,0.0,0.0323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0645,0.0,0.0,0.0323,0.0968,0.0323,0.0,0.6452,0.1935,0.0645,0.0645,0.0,0.0,3.0,2.0,22.0,0.0,4.0,0,Wed,0.0968,1,0
256,0.0,0.0833,0.0,0.1667,0.0,0.0,0.25,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4167,0.1667,0.1667,0.3333,0.0,0.25,0.0,0.0833,0.0,4.0,0.0,3.0,0.0,5.0,23,Wed,0.0833,1,0
257,0.4167,0.0833,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.3333,0.0,0.1667,0.0833,0.0833,0.0,0.0833,0.0833,0.5,0.0,1.0,0.0,6.0,0.0,5.0,0,Sun,0.0833,1,1
258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.1,0.2,0.3,0.2,0.0,0.3,0.0,0.1,0.3,0.1,0.0,0.0,4.0,0.0,0.0,6.0,20,Wed,0.1,1,0
259,0.0,0.2195,0.0,0.0,0.0,0.0732,0.3171,0.0488,0.1951,0.0244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122,0.0732,0.2195,0.0,0.0976,0.3659,0.2439,0.0,0.0,26.0,0.0,9.0,1.0,5.0,6,Fri,0.2683,0,0
260,0.1579,0.0526,0.0,0.0,0.0,0.4211,0.3684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4211,0.3684,0.0,0.0,0.2105,0.0,0.0,15.0,0.0,4.0,0.0,0.0,5,Tue,0.0,0,0
261,0.0,0.0,0.0,0.0,0.0,0.0,0.1333,0.1333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333,0.1333,0.4667,0.0,0.1333,0.2667,0.2667,0.0,0.1333,0.2,0.0,0.0,4.0,2.0,0.0,0.0,9.0,22,Tue,0.1333,1,0
262,0.2121,0.0909,0.0,0.0303,0.2121,0.1212,0.0606,0.0606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0606,0.1212,0.0,0.0303,0.2727,0.0606,0.1212,0.0606,0.2121,0.0606,0.2121,0.0,8.0,2.0,18.0,0.0,5.0,0,Mon,0.0606,1,0
263,0.0,0.0417,0.0,0.0,0.0,0.0,0.2083,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4167,0.0417,0.625,0.0417,0.1667,0.0,0.125,0.0417,0.0,0.0,6.0,0.0,1.0,0.0,17.0,22,Mon,0.0417,1,0
